Year,Event,Player,Team,Value
1932,On Base Percentage,Babe Ruth,New York,.489
1932,RBI,Jimmie Foxx,Philadelphia,169
1932,Runs,Jimmie Foxx,Philadelphia,151
1932,Slugging Average,Jimmie Foxx,Philadelphia,.749
1932,Stolen Bases,Ben Chapman,New York,38
1932,Total Bases,Jimmie Foxx,Philadelphia,438
1932,Triples,Joe Cronin,Washington,18
1933,Base on Balls,Babe Ruth,New York,114
1933,Batting Average,Jimmie Foxx,Philadelphia,.356
1933,Doubles,Joe Cronin,Washington,45
1933,Hits,Heinie Manush,Washington,221
1933,Home Runs,Jimmie Foxx,Philadelphia,48
1933,On Base Percentage,Mickey Cochrane,Philadelphia,.459
1933,RBI,Jimmie Foxx,Philadelphia,163
1933,Runs,Lou Gehrig,New York,138
1933,Slugging Average,Jimmie Foxx,Philadelphia,.703
1933,Stolen Bases,Ben Chapman,New York,27
1933,Total Bases,Jimmie Foxx,Philadelphia,403
1933,Triples,Heinie Manush,Washington,17
1934,Base on Balls,Jimmie Foxx,Philadelphia,111
1934,Batting Average,Lou Gehrig,New York,.363
1934,Doubles,Hank Greenberg,Detroit,63
1934,Hits,Charlie Gehringer,Detroit,214
1934,Home Runs,Lou Gehrig,New York,44
1934,On Base Percentage,Lou Gehrig,New York,.465
1934,RBI,Lou Gehrig,New York,165
1934,Runs,Charlie Gehringer,Detroit,134
1934,Slugging Average,Lou Gehrig,New York,.706
1934,Stolen Bases,Billy Werber,Boston,40
1934,Total Bases,Lou Gehrig,New York,409
1934,Triples,Ben Chapman,New York,13
1935,Base on Balls,Lou Gehrig,New York,132
1935,Batting Average,Buddy Myer,Washington,.349
1935,Doubles,Joe Vosmik,Cleveland,47
1935,Hits,Joe Vosmik,Cleveland,216
1935,Home Runs,Jimmie Foxx,Philadelphia,36
1935,On Base Percentage,Lou Gehrig,New York,.466
1935,RBI,Hank Greenberg,Detroit,170
1935,Runs,Lou Gehrig,New York,125
1935,Slugging Average,Jimmie Foxx,Philadelphia,.636
1935,Stolen Bases,Billy Werber,Boston,29
1935,Total Bases,Hank Greenberg,Detroit,389
1935,Triples,Joe Vosmik,Cleveland,20
1936,Base on Balls,Lou Gehrig,New York,130
1936,Batting Average,Luke Appling,Chicago,.388
1936,Doubles,Charlie Gehringer,Detroit,60
1936,Hits,Earl Averill,Cleveland,232
1936,Home Runs,Lou Gehrig,New York,49
1936,On Base Percentage,Lou Gehrig,New York,.478
1936,RBI,Hal Trosky,Cleveland,162
1936,Runs,Lou Gehrig,New York,167
1936,Slugging Average,Lou Gehrig,New York,.696
1936,Stolen Bases,Lyn Lary,St. Louis,37
1936,Total Bases,Hal Trosky,Cleveland,405
1936,Triples,Earl Averill,Cleveland,18
1937,Base on Balls,Lou Gehrig,New York,127
1937,Batting Average,Charlie Gehringer,Detroit,.371
1937,Doubles,Beau Bell,St. Louis,51
1937,Hits,Beau Bell,St. Louis,218
1937,Home Runs,Joe DiMaggio,New York,46
1937,On Base Percentage,Lou Gehrig,New York,.473
1937,RBI,Hank Greenberg,Detroit,183
1937,Runs,Joe DiMaggio,New York,151
1937,Slugging Average,Joe DiMaggio,New York,.673
1937,Stolen Bases,Ben Chapman,Washington,35
1937,Total Bases,Joe DiMaggio,New York,418
1937,Triples,Mike Kreevich,Chicago,16
1938,Base on Balls,Jimmie Foxx,Boston,119
1938,Batting Average,Jimmie Foxx,Boston,.349
1938,Doubles,Joe Cronin,Boston,51
1938,Hits,Joe Vosmik,Boston,201
1938,Home Runs,Hank Greenberg,Detroit,58
1938,On Base Percentage,Jimmie Foxx,Boston,.462
1938,RBI,Jimmie Foxx,Boston,175
1938,Runs,Hank Greenberg,Detroit,144
1938,Slugging Average,Jimmie Foxx,Boston,.704
1938,Stolen Bases,Frankie Crosetti,New York,27
1938,Total Bases,Jimmie Foxx,Boston,398
1938,Triples,Jeff Heath,Cleveland,18
1939,Base on Balls,Harlond Clift,St. Louis,111
1939,Batting Average,Joe DiMaggio,New York,.381
1939,Doubles,Red Rolfe,New York,46
1939,Hits,Red Rolfe,New York,213
1939,Home Runs,Jimmie Foxx,Boston,35
1939,On Base Percentage,Jimmie Foxx,Boston,.464
1939,RBI,Ted Williams,Boston,145
1939,Runs,Red Rolfe,New York,139
1939,Slugging Average,Jimmie Foxx,Boston,.694
1939,Stolen Bases,George Case,Washington,51
1939,Total Bases,Ted Williams,Boston,344
1939,Triples,Buddy Lewis,Washington,16
1940,Base on Balls,Charlie Keller,New York,106
1940,Batting Average,Joe DiMaggio,New York,.352
1940,Doubles,Hank Greenberg,Detroit,50
1940,Hits,Doc Cramer,Boston,200
1940,Home Runs,Hank Greenberg,Detroit,41
1940,On Base Percentage,Ted Williams,Boston,.442
